sig_empty,constraints_defect,truncated,very_short,any_defect,task_id
False,False,False,False,False,HumanEval/5
False,True,True,False,True,HumanEval/7
False,False,False,False,False,HumanEval/8
False,True,True,False,True,HumanEval/11
False,True,True,False,True,HumanEval/13
False,True,True,False,True,HumanEval/16
False,True,True,False,True,HumanEval/20
False,True,True,False,True,HumanEval/22
False,True,True,False,True,HumanEval/23
False,True,True,False,True,HumanEval/27
False,True,True,False,True,HumanEval/29
False,True,True,False,True,HumanEval/30
True,False,False,False,True,HumanEval/31
False,True,True,False,True,HumanEval/35
False,True,True,False,True,HumanEval/37
False,True,False,False,True,HumanEval/38
False,True,False,False,True,HumanEval/40
False,True,True,False,True,HumanEval/42
False,True,True,False,True,HumanEval/45
True,False,False,False,True,HumanEval/48
False,False,True,False,True,HumanEval/49
True,False,False,False,True,HumanEval/51
False,True,True,False,True,HumanEval/52
False,True,True,False,True,HumanEval/53
True,False,False,False,True,HumanEval/56
False,True,True,False,True,HumanEval/58
False,True,True,False,True,HumanEval/60
True,False,False,False,True,HumanEval/61
False,True,True,False,True,HumanEval/68
False,True,True,False,True,HumanEval/71
False,True,True,True,True,HumanEval/76
False,True,True,False,True,HumanEval/79
False,True,True,False,True,HumanEval/85
False,True,True,False,True,HumanEval/96
False,True,True,False,True,HumanEval/98
False,True,False,False,True,HumanEval/103
False,False,False,False,False,HumanEval/105
False,False,False,False,False,HumanEval/119
False,True,False,False,True,HumanEval/122
False,False,False,False,False,HumanEval/123
False,False,False,False,False,HumanEval/147
False,False,False,False,False,HumanEval/156
False,True,True,False,True,HumanEval/162
