task_id,single_pass,pipe_pass,spec,code_v1,code_final,validator_verdict,violations,structural_fail,collapse
HumanEval/0,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Determine if any two numbers in a list are closer to each other than a specified threshold.

INPUT:
- `numbers`: A list of floating-point numbers.
- `threshold`: A floating-point number representing the maximum allowed distance between any two numbers in the list.

OUTPUT:
- A boolean value indicating whether any two numbers in the list are closer to each other than the given threshold.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: If the list is empty, the function should return `False` because there are no pairs to compare.
- **Single Element**: If the list contains only one element, the function should return `False` because there are no pairs to compare.
- **Boundary Values**: The threshold should be greater than zero to ensure meaningful comparisons. If the threshold is zero or negative, the function should return `False` because no two numbers can be closer than zero.","def are_numbers_close(numbers, threshold):
    """"""
    Determine if any two numbers in a list are closer to each other than a specified threshold.

    :param numbers: List of floating-point numbers.
    :param threshold: Floating-point number representing the maximum allowed distance between any two numbers.
    :return: Boolean value indicating whether any two numbers in the list are closer to each other than the given threshold.
    """"""
    # Edge case: if the list is empty or has only one element, return False
    if len(numbers) < 2:
        return False
    
    # Sort the list to make it easier to find close numbers
    sorted_numbers = sorted(numbers)
    
    # Iterate through the sorted list and check the distance between consecutive numbers
    for i in range(len(sorted_numbers) - 1):
        if sorted_numbers[i + 1] - sorted_numbers[i] < threshold:
            return True
    
    # If no close numbers are found, return False
    return False

# Example usage:
# print(are_numbers_close([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3))  # Output: True
# print(are_numbers_close([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.2))  # Output: False
# print(are_numbers_close([], 0.5))  # Output: False
# print(are_numbers_close([1.0], 0.5))  # Output: False","def has_close_elements(numbers, threshold):
    """"""
    Determine if any two numbers in a list are closer to each other than a specified threshold.

    :param numbers: List of floating-point numbers.
    :param threshold: Floating-point number representing the maximum allowed distance between any two numbers.
    :return: Boolean value indicating whether any two numbers in the list are closer to each other than the given threshold.
    """"""
    # Edge case: if the list is empty or has only one element, return False
    if len(numbers) < 2:
        return False
    
    # Sort the list to make it easier to find close numbers
    sorted_numbers = sorted(numbers)
    
    # Iterate through the sorted list and check the distance between consecutive numbers
    for i in range(len(sorted_numbers) - 1):
        if sorted_numbers[i + 1] - sorted_numbers[i] < threshold:
            return True
    
    # If no close numbers are found, return False
    return False

# Example usage:
# print(has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3))  # Output: True
# print(has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.2))  # Output: False
# print(has_close_elements([], 0.5))  # Output: False
# print(has_close_elements([1.0], 0.5))  # Output: False",VIOLATION,"- Code does not contain a function definition for 'has_close_elements'. Found: 'def are_numbers_close(numbers, threshold):\n    """"""\n    Determine if any two numb'",True,False
HumanEval/1,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Separate groups of nested parentheses into separate strings and return the list of those.

INPUT:
- `paren_string`: A string containing multiple groups of nested parentheses. It may include spaces.

OUTPUT:
- A list of strings, where each string is a separate group of balanced parentheses.

CONSTRAINTS:
- The input string may contain spaces.
- The groups of parentheses are balanced and not nested within each other.

EXAMPLES:


EDGE CASES:
- **Empty input**: `separate_paren_groups('')` should return an empty list `[]`.
- **Single element**: `separate_paren_groups('()')` should return `['()']`.
- **Boundary values**: `separate_paren_groups('((()))')` should return `['((()))']`.","def separate_paren_groups(paren_string):
    """"""
    Separate groups of nested parentheses into separate strings and return the list of those.

    :param paren_string: A string containing multiple groups of nested parentheses. It may include spaces.
    :return: A list of strings, where each string is a separate group of balanced parentheses.
    """"""
    if not paren_string:
        return []

    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace("" "", """"):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result

# Example usage:
print(separate_paren_groups('((()))'))  # Output: ['((()))']
print(separate_paren_groups('() (()) ((()))'))  # Output: ['()', '(())', '((()))']
print(separate_paren_groups(''))  # Output: []
print(separate_paren_groups('()'))  # Output: ['()']","def separate_paren_groups(paren_string):
    """"""
    Separate groups of nested parentheses into separate strings and return the list of those.

    :param paren_string: A string containing multiple groups of nested parentheses. It may include spaces.
    :return: A list of strings, where each string is a separate group of balanced parentheses.
    """"""
    if not paren_string:
        return []

    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace("" "", """"):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result

# Example usage:
print(separate_paren_groups('((()))'))  # Output: ['((()))']
print(separate_paren_groups('() (()) ((()))'))  # Output: ['()', '(())', '((()))']
print(separate_paren_groups(''))  # Output: []
print(separate_paren_groups('()'))  # Output: ['()']",COMPLIANT,,False,False
HumanEval/2,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Given a positive floating point number, return its decimal part.

INPUT:
- `number`: A positive floating point number.

OUTPUT:
- A float representing the decimal part of the input number.

CONSTRAINTS:
- The input number must be positive.

EXAMPLES:


EDGE CASES:
- **Empty Input**: This case is not applicable since the function requires a positive number.
- **Single Element**: The function will still work correctly with a single-element list containing a positive number.
- **Boundary Values**: The function will handle very small numbers and very large numbers correctly, returning the appropriate decimal part.","def get_decimal_part(number):
    """"""
    Given a positive floating point number, return its decimal part.

    :param number: A positive floating point number.
    :return: A float representing the decimal part of the input number.
    """"""
    if number <= 0:
        raise ValueError(""Input must be a positive number."")
    
    integer_part = int(number)
    decimal_part = number - integer_part
    
    return decimal_part

# Example usage:
print(get_decimal_part(3.14))  # Output: 0.14
print(get_decimal_part(5.999)) # Output: 0.999
print(get_decimal_part(10.0))  # Output: 0.0","def truncate_number(number):
    """"""
    Given a positive floating point number, return its decimal part.

    :param number: A positive floating point number.
    :return: A float representing the decimal part of the input number.
    """"""
    if number <= 0:
        raise ValueError(""Input must be a positive number."")
    
    integer_part = int(number)
    decimal_part = number - integer_part
    
    return decimal_part

# Example usage:
print(truncate_number(3.14))  # Output: 0.14
print(truncate_number(5.999)) # Output: 0.999
print(truncate_number(10.0))  # Output: 0.0",VIOLATION,"- Code does not contain a function definition for 'truncate_number'. Found: 'def get_decimal_part(number):\n    """"""\n    Given a positive floating point number'",True,False
HumanEval/3,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Detect if the balance of a bank account falls below zero after processing a list of deposit and withdrawal operations.

INPUT:
- `operations`: A list of integers where each integer represents a deposit (positive) or withdrawal (negative).

OUTPUT:
- A boolean value indicating whether the balance falls below zero at any point during the operations.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `below_zero([])` should return `False` because there are no operations to affect the balance.
- **Single Element**: `below_zero([10])` should return `False` because the balance never falls below zero.
- **Boundary Values**: `below_zero([-1, 1])` should return `True` because the balance falls below zero after the first operation.","def below_zero(operations):
    """"""
    Detect if the balance of a bank account falls below zero after processing a list of deposit and withdrawal operations.

    :param operations: List of integers where each integer represents a deposit (positive) or withdrawal (negative).
    :return: Boolean value indicating whether the balance falls below zero at any point during the operations.
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False

# Edge cases
print(below_zero([]))          # False
print(below_zero([10]))         # False
print(below_zero([-1, 1]))      # True","def below_zero(operations):
    """"""
    Detect if the balance of a bank account falls below zero after processing a list of deposit and withdrawal operations.

    :param operations: List of integers where each integer represents a deposit (positive) or withdrawal (negative).
    :return: Boolean value indicating whether the balance falls below zero at any point during the operations.
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False

# Edge cases
print(below_zero([]))          # False
print(below_zero([10]))         # False
print(below_zero([-1, 1]))      # True",COMPLIANT,,False,False
HumanEval/4,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Calculate the Mean Absolute Deviation (MAD) of a list of numbers.

INPUT:
- `numbers`: A list of floats representing the dataset.

OUTPUT:
- A float representing the Mean Absolute Deviation of the dataset.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: The function should handle an empty list by returning 0.0, as there are no data points to calculate a mean.
- **Single Element**: If the list contains only one element, the MAD is 0.0, as there is no deviation from the single value.
- **Boundary Values**: The function should handle lists with very large or very small numbers, ensuring accurate calculations.","def calculate_mad(numbers):
    """"""
    Calculate the Mean Absolute Deviation (MAD) of a list of numbers.

    Parameters:
    - numbers: A list of floats representing the dataset.

    Returns:
    - A float representing the Mean Absolute Deviation of the dataset.
    """"""
    if not numbers:
        return 0.0
    
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    
    return mad","def mean_absolute_deviation(numbers):
    """"""
    Calculate the Mean Absolute Deviation (MAD) of a list of numbers.

    Parameters:
    - numbers: A list of floats representing the dataset.

    Returns:
    - A float representing the Mean Absolute Deviation of the dataset.
    """"""
    if not numbers:
        return 0.0
    
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    
    return mad",VIOLATION,"- Code does not contain a function definition for 'mean_absolute_deviation'. Found: 'def calculate_mad(numbers):\n    """"""\n    Calculate the Mean Absolute Deviation (M'",True,False
HumanEval/5,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Insert a number `delimeter` between every two consecutive elements of the input list `numbers`.

INPUT:
- `numbers`: A list of integers.
- `delimeter`: An integer to be inserted between consecutive elements of `numbers`.

OUTPUT:
- A new list with `delimeter` inserted between every two consecutive elements of `numbers`.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `intersperse([], 4)` returns `[]`.
- **Single Element**: `intersperse([5], 4)` returns `[5]`.
- **Boundary Values**: The function handles lists with a single element correctly, returning the element itself without any delimiters.","def intersperse(numbers, delimeter):
    """"""
    Insert a number 'delimeter' between every two consecutive elements of the input list 'numbers'.

    :param numbers: List of integers.
    :param delimeter: Integer to be inserted between consecutive elements.
    :return: A new list with 'delimeter' inserted between every two consecutive elements.
    """"""
    if not numbers:
        return []
    
    result = [numbers[0]]
    for num in numbers[1:]:
        result.extend([delimeter, num])
    
    return result

# Example usage:
print(intersperse([], 4))  # Output: []
print(intersperse([5], 4))   # Output: [5]
print(intersperse([1, 2, 3], 0))  # Output: [1, 0, 2, 0, 3]","def intersperse(numbers, delimeter):
    """"""
    Insert a number 'delimeter' between every two consecutive elements of the input list 'numbers'.

    :param numbers: List of integers.
    :param delimeter: Integer to be inserted between consecutive elements.
    :return: A new list with 'delimeter' inserted between every two consecutive elements.
    """"""
    if not numbers:
        return []
    
    result = [numbers[0]]
    for num in numbers[1:]:
        result.extend([delimeter, num])
    
    return result

# Example usage:
print(intersperse([], 4))  # Output: []
print(intersperse([5], 4))   # Output: [5]
print(intersperse([1, 2, 3], 0))  # Output: [1, 0, 2, 0, 3]",COMPLIANT,,False,False
HumanEval/6,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Parse a string containing multiple groups of nested parentheses and return a list of the deepest level of nesting for each group.

INPUT:
- `paren_string` (str): A string where each group of nested parentheses is separated by spaces.

OUTPUT:
- `List[int]`: A list of integers representing the deepest level of nesting for each group of parentheses.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty input**: `parse_nested_parens('')` should return an empty list `[]`.
- **Single element**: `parse_nested_parens('()')` should return `[1]`.
- **Boundary values**: `parse_nested_parens('((()))')` should return `[3]`.","from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """"""
    Parse a string containing multiple groups of nested parentheses and return a list of the deepest level of nesting for each group.
    
    :param paren_string: A string where each group of nested parentheses is separated by spaces.
    :return: A list of integers representing the deepest level of nesting for each group of parentheses.
    """"""
    if not paren_string:
        return []
    
    # Split the input string into individual groups based on spaces
    groups = paren_string.split()
    
    # Initialize a list to store the maximum depth for each group
    max_depths = []
    
    # Iterate over each group
    for group in groups:
        current_depth = 0
        max_depth = 0
        
        # Iterate over each character in the group
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        
        # Append the maximum depth of the current group to the list
        max_depths.append(max_depth)
    
    return max_depths

# Example usage:
print(parse_nested_parens('(()()) ((())) () ((())())'))  # Output: [2, 3, 1, 3]
print(parse_nested_parens(''))  # Output: []
print(parse_nested_parens('()'))  # Output: [1]
print(parse_nested_parens('((()))'))  # Output: [3]","from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """"""
    Parse a string containing multiple groups of nested parentheses and return a list of the deepest level of nesting for each group.
    
    :param paren_string: A string where each group of nested parentheses is separated by spaces.
    :return: A list of integers representing the deepest level of nesting for each group of parentheses.
    """"""
    if not paren_string:
        return []
    
    # Split the input string into individual groups based on spaces
    groups = paren_string.split()
    
    # Initialize a list to store the maximum depth for each group
    max_depths = []
    
    # Iterate over each group
    for group in groups:
        current_depth = 0
        max_depth = 0
        
        # Iterate over each character in the group
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        
        # Append the maximum depth of the current group to the list
        max_depths.append(max_depth)
    
    return max_depths

# Example usage:
print(parse_nested_parens('(()()) ((())) () ((())())'))  # Output: [2, 3, 1, 3]
print(parse_nested_parens(''))  # Output: []
print(parse_nested_parens('()'))  # Output: [1]
print(parse_nested_parens('((()))'))  # Output: [3]",COMPLIANT,,False,False
HumanEval/7,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Filter an input list of strings to include only those that contain a specified substring.

INPUT:
- `strings`: A list of strings to be filtered.
- `substring`: The substring to search for within each string in the list.

OUTPUT:
- A list of strings from the input list that contain the specified substring.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `filter_by_substring([], 'a')` should return an empty list.
- **Single Element**: `filter_by_substring(['single'], 's')` should return `['single']`.
- **Boundary Values**: `filter_by_substring(['a', 'b', 'c'], '')` should return `['a', 'b', 'c']`, as an empty substring matches all strings.","def filter_by_substring(strings, substring):
    """"""
    Filter an input list of strings to include only those that contain a specified substring.

    :param strings: List of strings to be filtered.
    :param substring: Substring to search for within each string in the list.
    :return: A list of strings from the input list that contain the specified substring.
    """"""
    if not strings:
        return []
    
    return [s for s in strings if substring in s]

# Example usage:
# print(filter_by_substring([], 'a'))  # Output: []
# print(filter_by_substring(['single'], 's'))  # Output: ['single']
# print(filter_by_substring(['a', 'b', 'c'], ''))  # Output: ['a', 'b', 'c']","def filter_by_substring(strings, substring):
    """"""
    Filter an input list of strings to include only those that contain a specified substring.

    :param strings: List of strings to be filtered.
    :param substring: Substring to search for within each string in the list.
    :return: A list of strings from the input list that contain the specified substring.
    """"""
    if not strings:
        return []
    
    return [s for s in strings if substring in s]

# Example usage:
# print(filter_by_substring([], 'a'))  # Output: []
# print(filter_by_substring(['single'], 's'))  # Output: ['single']
# print(filter_by_substring(['a', 'b', 'c'], ''))  # Output: ['a', 'b', 'c']",COMPLIANT,,False,False
HumanEval/8,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Calculate the sum and product of all integers in a given list.

INPUT:
- `numbers`: A list of integers.

OUTPUT:
- A tuple containing two elements:
  - The first element is the sum of all integers in the list.
  - The second element is the product of all integers in the list.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: 
  - `sum_product([])` returns `(0, 1)`.
- **Single Element**:
  - `sum_product([5])` returns `(5, 5)`.
- **Boundary Values**:
  - `sum_product([-1, -2, -3, -4])` returns `(-10, 24)`.","def sum_product(numbers):
    if not numbers:
        return (0, 1)
    
    total_sum = 0
    total_product = 1
    
    for number in numbers:
        total_sum += number
        total_product *= number
    
    return (total_sum, total_product)

# Example usage:
# print(sum_product([1, 2, 3, 4]))  # Output: (10, 24)
# print(sum_product([-1, -2, -3, -4]))  # Output: (-10, 24)
# print(sum_product([]))  # Output: (0, 1)
# print(sum_product([5]))  # Output: (5, 5)","def sum_product(numbers):
    if not numbers:
        return (0, 1)
    
    total_sum = 0
    total_product = 1
    
    for number in numbers:
        total_sum += number
        total_product *= number
    
    return (total_sum, total_product)

# Example usage:
# print(sum_product([1, 2, 3, 4]))  # Output: (10, 24)
# print(sum_product([-1, -2, -3, -4]))  # Output: (-10, 24)
# print(sum_product([]))  # Output: (0, 1)
# print(sum_product([5]))  # Output: (5, 5)",COMPLIANT,,False,False
HumanEval/9,True,True,"FUNCTION SIGNATURE:


TASK DESCRIPTION:
Generate a list of rolling maximum elements from a given list of integers.

INPUT:
- `numbers`: A list of integers.

OUTPUT:
- A list of integers representing the rolling maximum element found until each moment in the sequence.

CONSTRAINTS:
- NONE

EXAMPLES:


EDGE CASES:
- **Empty Input**: `rolling_max([])` should return an empty list.
- **Single Element**: `rolling_max([5])` should return `[5]`.
- **Boundary Values**: `rolling_max([-1, -2, -3, -2, -3, -4, -2])` should return `[-1, -1, -1, -1, -1, -1, -1]`.","from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    max_so_far = numbers[0]
    rolling_max_list = [max_so_far]
    
    for num in numbers[1:]:
        if num > max_so_far:
            max_so_far = num
        rolling_max_list.append(max_so_far)
    
    return rolling_max_list","from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    max_so_far = numbers[0]
    rolling_max_list = [max_so_far]
    
    for num in numbers[1:]:
        if num > max_so_far:
            max_so_far = num
        rolling_max_list.append(max_so_far)
    
    return rolling_max_list",COMPLIANT,,False,False
