task_id,sa_pass,two_pass,two_collapse,spec,two_code,three_pass,three_collapse,validator_verdict,violations
HumanEval/0,False,False,False,"## Task Description
The function `has_close_elements` checks if any two numbers in a given list of numbers are closer to each other than the given threshold. It returns a boolean value.

## Input
- `numbers`: A list of numbers.
- `threshold`: A float representing the threshold.

## Output
- `True` if any two numbers in the list are closer to each other than the threshold, `False` otherwise.

## Constraints
- The list of numbers should not be empty.
- The threshold should be a positive number.

## Examples


## Edge Cases
- If the list is empty, the function should return `False`.
- If the threshold is not a positive number, the function should raise a ValueError.

## Function Signature","def has_close_elements(numbers: list, threshold: float) -> bool:
    if not numbers or not isinstance(threshold, (int, float)) or threshold <= 0:
        raise ValueError(""Invalid input"")

    for i in range(len(numbers) - 1):
        if abs(numbers[i] - numbers[i + 1]) <= threshold:
            return True
    return False",False,False,VIOLATION,- Function has no return statement
HumanEval/1,False,False,False,"## Task Description

The function `separate_paren_groups` is to separate the nested parentheses groups from a given string.

## Input

- `paren_string: str`: The input string containing multiple grouped parentheses.

## Output

- `List[str]`: A list of separate parentheses groups.

## Constraints

- The input string should contain only parentheses.
- The input string should not be empty.
- The input string should not contain any spaces.
- The output list should not contain any spaces.
- The output list should not be empty.

## Examples



## Edge Cases

- If the input string is empty, the function should return an empty list.
- If the input string contains only one group of parentheses, the function should return a list with that group.
- If the input string contains multiple groups of parentheses, the function should return a list of those groups.
- If the input string contains parentheses nested within other parentheses, the function should return a list of those groups.
- If the input string contains spaces, the function should return a list of those groups.

## Function Signature","def separate_paren_groups(paren_string: str) -> List[str]:
    pass

# Test cases
print(separate_paren_groups(""()""))
print(separate_paren_groups(""(())""))
print(separate_paren_groups(""(()())""))
print(separate_paren_groups(""(())(())""))
print(separate_paren_groups(""(())(())()""))
print(separate_paren_groups(""""))
print(separate_paren_groups("" ""))
print(separate_paren_groups(""(()) ""))
print(separate_paren_groups("" (())""))
print(separate_paren_groups(""(())( )""))
print(separate_paren_groups(""(())(())() ""))
print(separate_paren_groups(""   ""))",False,False,VIOLATION,- Function has no return statement
HumanEval/2,True,True,False,"## Task Description
The function `truncate_number(number: float) -> float:` is to truncate the decimal part of a given positive floating-point number. It can be decomposed into an integer part (largest integers smaller than given number) and a decimal part (leaving part always smaller than 1). Return the decimal part of the number.

## Input
- `number: float`: A positive floating-point number.

## Output
- `float`: The decimal part of the number.

## Constraints
- None

## Examples


## Edge Cases
- None

## Function Signature","def truncate_number(number: float) -> float:
    integer_part = int(number)
    decimal_part = number - integer_part
    return decimal_part",True,False,COMPLIANT,
HumanEval/3,False,True,False,"## Task Description

The function `below_zero` is given a list of deposit and withdrawal operations on a bank account that starts with zero balance. Your task is to detect if at any point the balance of the account falls below zero. If it does, the function should return `True`. Otherwise, it should return `False`.

## Function Signature



## Input

- `operations`: A list of integers representing the operations on the bank account.

## Output

- `True` if the balance of the account falls below zero at any point.
- `False` otherwise.

## Constraints

- DONOTwriteanyPythoncode
- DONOTskiporsummarizeconstraintscopythemALL
- DONOTaddconstraintsthatarenotintheoriginal

## Examples



## Edge Cases

- `None`, `empty list`, `single element`, `boundary values`: The function should handle these edge cases appropriately.

## Task to convert

Convert the function specification into a structured plain text format.","def below_zero(operations):
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False",True,False,COMPLIANT,
HumanEval/4,True,True,False,"## Task Description
The function `mean_absolute_deviation(numbers: List[float]) -> float` is to calculate the Mean Absolute Deviation (MAD) of a given list of input numbers. The MAD is the average of the absolute differences between each element and the mean of the dataset.

## Input
- `numbers: List[float]`: A list of real numbers.

## Output
- `float`: The Mean Absolute Deviation of the input list.

## Constraints
- The list should not be empty.
- The list should contain only real numbers.

## Examples


## Edge Cases
- If the list is empty, the function should return `None`.
- If the list contains only one element, the function should return `0.0` as the MAD is the average of the absolute differences between the element and the mean.
- If the list contains boundary values, the function should return the correct MAD.

## Task to convert","from typing import List
import math

def mean_absolute_deviation(numbers: List[float]) -> float:
    if not numbers:
        return None
    mean = sum(numbers) / len(numbers)
    differences = [abs(num - mean) for num in numbers]
    mad = sum(differences) / len(differences)
    return mad",True,False,COMPLIANT,
HumanEval/5,True,False,True,"## Task Description
The function `fromtypingimportListdefintersperse(numbers:List[int],delimeter:int)->List[int]:` is to be converted into a structured plain text format.

## Input
- `numbers:List[int]`: A list of integers.
- `delimeter:int`: An integer to be used as a delimiter between every two consecutive elements of the input list.

## Output
- `List[int]`: A list of integers where every two consecutive elements are separated by the provided delimiter.

## Constraints
- DONOTwriteanyPythoncode
- DONOTskiporsummarizeconstraintscopythemALL
- DONOTaddconstraintsthatarenotintheoriginal
- Ifadocstringhasexamples,includethemunderEXAMPLES
- Ifaconstraintsectionwouldbeempty,writeNONE
- AnincompletespecwillcausetheimplementationtofailOUTPUTFORMATusethisexactly:FUNCTIONSIGNATURE:`def fromtypingimportListdefintersperse(numbers:List[int],delimeter:int)->List[int]:`
- TASKDESCRIPTION:`Insert a delimiter between every two consecutive elements of the input list.`
- INPUT:`Each parameter is a list of integers and an integer.`
- OUTPUT:`The function should return a list of integers where every two consecutive elements are separated by the provided delimiter.`
- CONSTRAINTS:`DONOTwriteanyPythoncode,DONOTskiporsummarizeconstraintscopythemALL,DONOTaddconstraintsthatarenotintheoriginal,Ifadocstringhasexamples,includethemunderEXAMPLES,Ifaconstraintsectionwouldbeempty,writeNONE,AnincompletespecwillcausetheimplementationtofailOUTPUTFORMATusethisexactly:FUNCTIONSIGNATURE:`def fromtypingimportListdefintersperse(numbers:List[int],delimeter:int)->List[int]:`
- TASKDESCRIPTION:`Insert a delimiter between every two consecutive elements of the input list.`
- INPUT:`Each parameter is a list of integers and an integer.","def fromtypingimportListdeferse(numbers:List[int], delimiter:int)->List[int]:
    return [numbers[i] + delimiter for i in range(len(numbers)) if i % 2 != 0]",False,True,VIOLATION,"- Code does not contain a function definition for 'intersperse'. Found: 'def fromtypingimportListdeferse(numbers:List[int], delimiter:int)->List[int]:\n  '"
HumanEval/6,False,False,False,"## Task Description

The function `parse_nested_parens` is to parse a string representation of nested parentheses separated by spaces. It should return a list of integers representing the maximum depth of nesting of parentheses at each level.

## Input

- `paren_string: str`: A string representation of nested parentheses separated by spaces.

## Output

- `List[int]`: A list of integers representing the maximum depth of nesting of parentheses at each level.

## Constraints

- DONOT write any Python code
- DONOT skip any summarize constraints
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add constraints that are not in the original
- DONOT add","def parse_nested_parens(paren_string: str) -> List[int]:
    stack = []
    depths = []
    max_depth = 0

    for char in paren_string:
        if char == '(':
            stack.append(char)
            depth = len(stack)
            if depth > max_depth:
                max_depth = depth
            depths.append(depth)
        elif char == ')':
            stack.pop()
            depths.append(None)
    return depths",False,False,COMPLIANT,
HumanEval/7,True,False,True,"## Task Description
The function `from typing import List, str` is defined with the signature `filter_by_substring(strings: List[str], substring: str) -> List[str]`. The function is supposed to filter a list of strings based on a substring.

## Input
- `strings`: A list of strings.
- `substring`: A string to be used for filtering.

## Output
- The function should return a list of strings that contain the substring.

## Constraints
- The function should not write any Python code.
- The function should not skip any summarize constraints.
- The function should not add constraints that are not in the original.
- The function should not have any examples, include them under EXAMPLES.
- The function should not have any doctest examples, include them under EXAMPLES.
- The function should not have any edge cases, include them under EDGECASES.

## Examples


## Implementation


## Output Format
The function should return a list of strings that contain the substring.

## Task to convert","import re
from typing import List, str

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]

# Test cases
print(filter_by_substring([""hello"", ""world"", ""python""], ""lo""))  # [""hello"", ""world""]
print(filter_by_substring([""hello"", ""world"", ""python""], ""xyz""))  # []
print(filter_by_substring([""hello"", ""world"", ""python""], """"))  # [""hello"", ""world"", ""python""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""o""))  # [""hello"", ""world"", ""world""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""world""))  # [""hello"", ""world"", ""world""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], """"))  # [""hello"", ""world"", ""python"", ""world""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""python""))  # [""hello"", ""python""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""xyz""))  # []
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""worldpython""))  # [""world"", ""python""]
print(filter_by_substring([""hello"", ""world"", ""python"", ""world""], ""pythonworld""))  # [""python"", ""world",False,True,COMPLIANT,
HumanEval/8,True,False,True,"## Task Description

The task is to convert the Python function specification into a structured plain text format.

## Input

- The function signature: `from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]`

- Each parameter:
  - name: `numbers`
  - type: `List[int]`
  - what it represents: `A list of integers`

## Output

- The return value: `Tuple[int, int]`
  - type: `The type of the sum and product of all the integers in the list`
  - what it represents: `A tuple containing the sum and product of all the integers in the list`

## Constraints

- Do not write any Python code.
- Do not skip or summarize constraints.
- Do not add constraints that are not in the original.
- If the docstring has examples, include them under EXAMPLES.
- If a constraint section would be empty, write NONE.
- An incomplete spec will cause the implementation to fail.
- Output format: Use this exactly: `FUNCTIONSIGNATURE: <copy the exact def line including type hints>
TASKDESCRIPTION: <clear sentence describing what the function does>
INPUT: <describe each parameter: name, type, what it represents>
OUTPUT: <describe the return value: type and what it represents>
CONSTRAINTS: <list every constraint from the docstring as bullet points><if none: write NONE>
EXAMPLES: <copy the doc test examples exactly><if none: write NONE>
EDGECASES: <empty input, single element, boundary values>
`

## Example



## Edge Cases

- Empty input: The function should return `(0, 1)`
- Single element: The function should return `(number, number)`
- Boundary values: The function should return `(sum of boundary values, product of boundary values)`","def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_numbers = sum(numbers)
    product_numbers = 1
    for num in numbers:
        product_numbers *= num
    return (sum_numbers, product_numbers)",False,True,COMPLIANT,
HumanEval/9,False,True,False,"## Task Description

The function `rolling_max` is to be implemented from the given list of integers, generate a list of rolling maximum element found until given moment in the sequence.

## Function Signature



## Input

- `numbers`: A list of integers.

## Output

- A list of integers.

## Constraints

- DONOTwriteanyPythoncode
- DONOTskiporsummarizeconstraintscopythemALL
- DONOTaddconstraintsthatarenotintheoriginal
- Ifedocstringhasexamples,includethemunderEXAMPLES
- Ifaconstraintsectionwouldbeempty,writeNONE
- AnincompletespecwillcausetheimplementationtofailOUTPUTFORMATusethisexactly:FUNCTIONSIGNATURE:<copytheexactdeflineincludingtypehints>
- TASKDESCRIPTION:<oneclearsentencedescribingwhatthefunctiondoes>
- INPUT:<describeeachparameter:name,type,whatitrepresents>
- OUTPUT:<describethereturnvalue:typeandwhatitrepresents>
- CONSTRAINTS:<listeveryconstraintfromthedocstringasbulletpoints><ifnone:writeNONE>
- EXAMPLES:<copythedoctestexamplesexactly><ifnone:writeNONE>
- EDGECASES:<emptyinput,singleelement,boundaryvalues>

## Examples



## Edge Cases

- `emptyinput`: An empty list of integers.
- `singleelement`: A list with a single element.
- `boundaryvalues`: A list with boundary values.","def rolling_max(numbers):
    max_list = []
    max_val = float('-inf')
    for num in numbers:
        if num > max_val:
            max_val = num
        max_list.append(max_val)
    return max_list",True,False,COMPLIANT,
